intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceLeftLoop.ran,Email,date,expName,psychopyVersion,OS,frameRate,repeatResp.keys,repeatResp.rt,discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,discountingBlockLong.ran,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,choiceRightLoop.ran,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin1.ran,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin0.ran,key_resp_3.keys,key_resp_3.rt,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,blockbegin2.ran
space,1.41,1,2.17,16,3,You got it!,3,32,32,0,0,0,0,1,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,1.004,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.209,18,3,You got it!,1,18,50,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,3.864,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,3.51,16,3,You got it!,1,16,66,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,1.151,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,5.885,14,3,You got it!,1,14,0,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,0.959,,,,,,,,,,,space,1.146,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.314,0,0,0,0,1
,,1,0.734,16,1,You got it!,1,32,32,0,0,0,0,1,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,2.207,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0.716,18,1,You got it!,1,32,64,0,0,0,0,1,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,0.87,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.512,20,1,You got it!,1,20,84,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,2.557,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1.714,18,1,You got it!,1,18,102,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2021-03-24_19h07.30.897,discounting_block,2020.2.10,Linux x86_64,60,space,1.667,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
