discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.875345131000358,None,space,0.6493481690004046,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5.594955810000101,None,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,9.658176998000272,None,space,2.417650434999814,,,,,,,,,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,5.383089273000223,16,3,You got it!,3,32,32,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.593463045000135,None,21.593463045000135,None,21.593463045000135,None,space,2.1029316489994017,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,3.3663491410006827,18,3,You got it!,1,18,50,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.22477433700078,None,29.22477433700078,None,29.22477433700078,None,space,0.8726199769998857,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,3.9478996739999275,16,3,You got it!,3,32,82,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.19278372000008,None,38.19278372000008,None,38.19278372000008,None,space,2.4077109090003432,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,7.414198903999932,18,3,You got it!,1,18,0,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.17947509000078,None,50.17947509000078,None,50.17947509000078,None,space,5.092401737000728,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,5.198594909000349,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.61574360300074,None,62.61574360300074,None,62.61574360300074,None,space,2.841418942999553,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
5,0,5,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2,3.0159586370000397,17,1,You got it!,1,32,64,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.60227865100023,None,70.60227865100023,None,70.60227865100023,None,space,2.9408859459999803,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.6978636229996482,18,1,You did not get it!,1,32,64,,,,,,,,,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.35979507600041,None,77.35979507600041,None,77.35979507600041,None,space,4.15210794900031,,001,2021_мар_06_1445,discounting_block,2020.2.10,60.01104383224037,
