discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.7424252640048508,,,,,,,,,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.532470894002472,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.098213871999178,None,11.098213871999178,None,11.098213871999178,None,space,1.4882164130031015,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,2.7687834600001224,18,1,You did not get it!,1,32,32,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.515631968002708,None,17.515631968002708,None,17.515631968002708,None,space,3.9573294000001624,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,3.5477847040019697,20,1,You got it!,1,32,64,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.184774423003546,None,27.184774423003546,None,27.184774423003546,None,space,1.6567339850007556,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.9500387780062738,22,1,You did not get it!,1,32,64,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.951561419999052,None,31.951561419999052,None,31.951561419999052,None,space,1.5414044880017173,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.04560021499492,24,1,You got it!,1,32,96,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.704514978999214,None,36.704514978999214,None,36.704514978999214,None,space,0.08953307099727681,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.981861382999341,26,1,You got it!,1,32,128,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94687857900135,None,39.94687857900135,None,39.94687857900135,None,space,1.5650618849977036,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
6,0,6,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.7826091250026366,28,1,You did not get it!,1,32,128,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.45593239799928,None,44.45593239799928,None,44.45593239799928,None,space,0.6067359170046984,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,4.8999400429966045,30,1,You got it!,1,32,160,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.14255398900423,None,52.14255398900423,None,52.14255398900423,None,space,0.922974350003642,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
8,0,8,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.803971116001776,30,1,You got it!,1,30,190,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.02731476200279,None,57.02731476200279,None,57.02731476200279,None,space,2.4567990119976457,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
9,0,9,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.895290353000746,28,1,You got it!,1,32,222,,,,,,,,,,001,2021_фев_22_1512,discounting_block,2020.2.10,59.88926666366921,
